rel=cannonical	title	parent
http://www.oac.cdlib.org/findaid/ark:/13030/kt4v19r776	Bagley (Charles Rutherford) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/c89p32dj	Bagley (Julian) Collection	ark:/13030/kt9c6029ms
http://www.oac.cdlib.org/findaid/ark:/13030/c85q4xs9	Bahlman (Robert) Photographs	ark:/13030/tf458010c5
http://www.oac.cdlib.org/findaid/ark:/13030/kt0489q1k6	Bail (Hamilton V.) Harvard collection	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt896nf4xt	Bail (Hamilton Vaughan) typescript	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/c8bp04x8	Bailey Family Genealogy Research Papers	ark:/13030/c8c24z6d
http://www.oac.cdlib.org/findaid/ark:/13030/kt3489q25d	Bailey (Florence M.) Papers	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/tf3f59n66k	Bailey (George A.) Papers	ark:/13030/tf5r29p4tz
http://www.oac.cdlib.org/findaid/ark:/13030/kt267nd86x	Bailey (H. S.) memorandum	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt9779s0zr	Bailey (Harry Lewis) etchings and sketches	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf9m3nb3g6	Bailey (James F.) Collection	ark:/13030/tf0f59p354
http://www.oac.cdlib.org/findaid/ark:/13030/tf5t1nb3zh	Bailey (June T.) Papers	ark:/13030/tf0h4nb4sw
http://www.oac.cdlib.org/findaid/ark:/13030/kt8w10390w	Bailey (Margery) Papers	ark:/13030/tf458010c5
http://www.oac.cdlib.org/findaid/ark:/13030/kt1h4n981n	Bailey (Paul D.) Papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/c88w3cn5	Bailey (Percival) Collection of Papers and Photographs.	ark:/13030/tf8h4nc0sw
http://www.oac.cdlib.org/findaid/ark:/13030/c8wh2rgw	Bailey (Philip E.) Collection	ark:/13030/c8zp473v
http://www.oac.cdlib.org/findaid/ark:/13030/kt009nd61f	Bailey (Stanley Fuller) Papers	ark:/13030/tf1489p250
http://www.oac.cdlib.org/findaid/ark:/13030/c82n50q0	Bailey (Thomas Andrew) Papers	ark:/13030/tf458010c5
http://www.oac.cdlib.org/findaid/ark:/13030/tf287005f6	Bailey (Tom). While Looking At Your Hair	ark:/13030/tf5r29p653
http://www.oac.cdlib.org/findaid/ark:/13030/c8j104pf	"Bailey-Fellows House, Carol DeSantis Papers on the"	ark:/13030/kt1d5nc252
http://www.oac.cdlib.org/findaid/ark:/13030/kt3z09r64h	Bailie (J. A.) collection	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf258004v8	Baily (Norman A.) Papers	ark:/13030/tf5r29p653
http://www.oac.cdlib.org/findaid/ark:/13030/kt7p3038r5	Bain (Emily J.) collection of correspondence with Lindsley (Donald B. and Ellen F.)	ark:/13030/tf8h4nc0sw
http://www.oac.cdlib.org/findaid/ark:/13030/tf800006n7	Bain (Joe S.) Papers	ark:/13030/tf009nb42r
http://www.oac.cdlib.org/findaid/ark:/13030/kt400035mp	Bainbridge (David A.) Papers	ark:/13030/tf1489p250
http://www.oac.cdlib.org/findaid/ark:/13030/kt0b69r4gv	Baird (Jay W.) papers	ark:/13030/tf4m3nb8sq
