count	level1	level2	onlineItems
2	"Presentation Archives, Sisters of the Presentation of the Blessed Virgin Mary (PBVM)"	""	""
1	Rancho Cucamonga Library Services	""	onlineItems
1	Redwood City Public Library	""	onlineItems
2	Redwood National Park	""	""
106	Richard Nixon Presidential Library and Museum	""	onlineItems
1	Richmond Public Library	""	onlineItems
2	Riverside Public Library	""	onlineItems
12	Roseville Public Library	""	""
12	Sacramento County Office of Education	""	""
18	Sacramento Public Library	""	""
2	San Bernardino Public Library	""	onlineItems
1	San Bruno Public Library	""	onlineItems
24	San Diego Air and Space Museum Library and Archives	""	""
145	San Diego History Center (formerly San Diego Historical Society)	""	onlineItems
4	San Diego Museum of Man	""	""
353	San Diego State University	""	""
353	""	Special Collections and University Archives	""
475	San Francisco Maritime National Historical Park	""	onlineItems
133	San Francisco Public Library	""	onlineItems
47	""	James C. Hormel Gay and Lesbian Center	onlineItems
86	""	San Francisco History Center	onlineItems
99	San Francisco State University	""	onlineItems
1	""	J. Paul Leonard Library	""
98	""	Labor Archives and Research Center	onlineItems
55	San Joaquin County Historical Society and Museum	""	onlineItems
1	San Joaquin Valley Library System	""	onlineItems
9	San Jose Public Library. California Room	""	onlineItems
178	San José State University	""	onlineItems
177	""	Special Collections and Archives	onlineItems
1	"San Mateo County Library, Brisbane Library"	""	onlineItems
1	San Mateo Public Library	""	onlineItems
1	Santa Ana Public Library	""	onlineItems
1	Santa Barbara Botanic Garden. Blaksley Library	""	""
25	Santa Barbara Trust for Historic Preservation. Presidio Research Center	""	""
1	Santa Clara City Library	""	onlineItems
44	Santa Clara County Archives	""	""
26	Santa Clara University	""	onlineItems
1	"Santa Cruz Public Libraries, Scotts Valley Branch"	""	onlineItems
1	Santa Fe Springs City Library	""	onlineItems
3	Santa Monica Public Library	""	onlineItems
1	"Scripps College, Ruth Chandler Williamson Gallery"	""	""
602	"Seaver Center for Western History Research, Natural History Museum of Los Angeles County"	""	""
6	Sequoia and Kings Canyon National Parks	""	""
16	Sherman Library and Gardens	""	""
2	Sierra Madre Public Library	""	""
155	Society of California Pioneers	""	onlineItems
1	Sonoma County Library	""	onlineItems
27	Sonoma State University Library	""	onlineItems
13	Sourisseau Academy for State and Local History	""	onlineItems
1	South Pasadena Public Library	""	onlineItems
1	South San Francisco Public Library	""	onlineItems
85	Southern California Library for Social Studies and Research	""	onlineItems
2936	Stanford University	""	onlineItems
736	""	Manuscripts Division	onlineItems
8	""	Rare Books Division	""
100	""	Stanford Archive of Recorded Sound	onlineItems
5	""	Stanford Music Library	onlineItems
2086	""	University Archives	onlineItems
1	Sutter County Library	""	onlineItems
46	Tauber Holocaust Library	""	""
2	Thousand Oaks Library	""	onlineItems
3	Tulare County Library	""	onlineItems
13773	UC Berkeley	""	onlineItems
1	""	Art History/Classics Library	onlineItems
12478	""	Bancroft Library	onlineItems
15	""	Berkeley Art Museum/Pacific Film Archive	onlineItems
53	""	Bioscience and Natural Resources Library	""
26	""	Davis (Harmer E.) Transportation Library	""
121	""	Environmental Design Archives	onlineItems
90	""	Ethnic Studies Library	onlineItems
4	""	Hearst (Phoebe A.) Museum of Anthropology	onlineItems
3	""	Institute for Research on Labor and Employment Library	onlineItems
589	""	Institute of Governmental Studies Library	""
24	""	Law Library	""
1	""	Media Resources Center	""
1	""	Museum of Paleontology	""
30	""	Museum of Vertebrate Zoology	onlineItems
180	""	Music Library	""
53	""	South/Southeast Asia Library	""
1	""	The Magnes Collection of Jewish Art and Life	""
1	""	The Robbins Collection	""
102	""	University Archives	onlineItems
733	UC Davis	""	onlineItems
638	""	Special Collections	onlineItems
95	""	University Archives	onlineItems
617	UC Irvine	""	onlineItems
25	""	Critical Theory Archive	onlineItems
46	""	Southeast Asian Archive	onlineItems
363	""	Special Collections	onlineItems
183	""	University Archives	onlineItems
4	UC Merced	""	onlineItems
3	""	Library and Special Collections	onlineItems
1	""	"Physical Planning, Design and Construction Archives"	onlineItems
331	UC Riverside	""	onlineItems
10	""	California Museum of Photography	onlineItems
171	""	Special Collections and Archives	onlineItems
31	""	University Archives	""
119	""	Water Resources Collections and Archives	onlineItems
859	UC San Diego	""	onlineItems
499	""	Mandeville Special Collections Library	onlineItems
1	""	Research Data Curation Program	onlineItems
325	""	Scripps Institution of Oceanography Archives	""
34	""	University Archives	onlineItems
221	UC San Francisco	""	onlineItems
4	""	H.M. Fishbon Memorial Library	onlineItems
166	""	Special Collections	onlineItems
24	""	Tobacco Control Archives	onlineItems
27	""	University Archives	""
3980	UC Santa Barbara	""	onlineItems
227	""	"Architecture and Design Collection, Art, Design and Architecture Museum"	""
16	""	Cheadle Center for Biodiversity and Ecological Restoration	onlineItems
3736	""	Special Collections	onlineItems
305	UC Santa Cruz	""	onlineItems
253	""	Special Collections and Archives	onlineItems
52	""	University Archives	""
3167	UCLA	""	onlineItems
101	""	Chicano Studies Research Center	""
137	""	Clark (William Andrews) Memorial Library	""
48	""	Ethnomusicology Archive	""
21	""	Film and Television Archive	""
9	""	Fowler Museum of Cultural History	onlineItems
4	""	Grunwald Center for the Graphic Arts	onlineItems
1	""	"Library Special Collections, Center for Oral History Research"	onlineItems
1841	""	"Library Special Collections, Charles E. Young Research Library"	onlineItems
169	""	"Library Special Collections, History and Special Collections for the Sciences"	""
361	""	"Library Special Collections, Performing Arts"	onlineItems
475	""	"Library Special Collections, University Archives"	""
1	Unemployment Insurance Division Library	""	""
381	University of Southern California	""	onlineItems
2	""	Boeckmann Center for Iberian and Latin American Studies	""
88	""	California Social Welfare Archives	""
7	""	Cinematic Arts Library	""
